time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0,0.5,3520,55,19996,540,0.005905455,0.0046875,-10.24255084991455,0.0,0.0003,0.2,451.3525390625,-0.033544307202100755,917.262890625,-318.1367261428571,59.857142857142854,,
,0.5,3584,,,550,0.004638871,0.0015625,-10.245436668395996,-1.1920928955078125e-07,0.0003,0.2,635.574462890625,-0.020899464003741743,1287.1362060546876,,,-182.3938882,100.0
0,0.5,3584,56,21555,,,,,,,,,,,-319.61353570175436,60.333333333333336,,
0,0.5,3648,57,21783,560,0.0067327777,0.0125,-10.25784854888916,0.0,0.0003,0.2,568.792236328125,-0.03269205130636692,1153.1719482421875,-318.86849488135584,60.23728813559322,,
0,0.5,3712,58,21982,570,0.0055807866,0.0125,-10.267457866668702,0.0,0.0003,0.2,634.3189086914062,-0.022414034977555276,1283.9807250976562,-311.2738703606557,58.90163934426229,,
0,0.5,3776,59,22209,580,0.0068659205,0.015625,-10.269355392456054,-1.1920928955078125e-07,0.0003,0.2,477.9513244628906,-0.033841990679502484,970.32412109375,-312.67080835483864,59.17741935483871,,
0,0.5,3840,60,22444,590,0.005419011,0.0109375,-10.269190311431885,0.0,0.0003,0.2,748.3888549804688,-0.026945472974330188,1513.0234008789062,-310.749672171875,58.609375,,
0,0.5,3904,61,22670,600,0.008294454,0.0234375,-10.264916706085206,1.1920928955078125e-07,0.0003,0.2,631.2220458984375,-0.036870948038995266,1277.8968017578125,-310.749672171875,58.609375,,
0,0.5,3968,62,22883,610,0.004103978,0.009375,-10.261217975616455,0.0,0.0003,0.2,750.8640747070312,-0.02241234853863716,1518.3746826171875,-310.749672171875,58.609375,,
0,0.5,4032,63,23106,620,0.005123782,0.003125,-10.263075828552246,0.0,0.0003,0.2,598.537109375,-0.028630506806075574,1212.9215454101563,-313.17431844776115,59.1044776119403,,
,0.5,4096,,,630,0.0053396095,0.0078125,-10.282230758666993,0.0,0.0003,0.2,525.21875,-0.021883047372102737,1065.0729614257812,,,-196.7463252,400.0
0,0.5,4096,64,24701,,,,,,,,,,,-312.90086299999996,59.19117647058823,,
0,0.5,4160,65,24896,640,0.0048756385,0.0078125,-10.286634254455567,-1.1920928955078125e-07,0.0003,0.2,679.0059204101562,-0.027268111146986483,1373.3016967773438,-310.371581173913,58.81159420289855,,
0,0.5,4224,66,25124,650,0.005313744,0.01875,-10.281630611419677,0.0,0.0003,0.2,540.0777587890625,-0.02486712485551834,1095.4093627929688,-309.6703062142857,58.7,,
0,0.5,4288,67,25339,660,0.005087861,0.00625,-10.27080078125,5.960464477539063e-08,0.0003,0.2,600.4986572265625,-0.030120030418038367,1216.3433227539062,-309.6703062142857,58.7,,
0,0.5,4352,68,25557,670,0.0034864452,0.00625,-10.258172130584716,-2.384185791015625e-07,0.0003,0.2,768.2869873046875,-0.02051978725939989,1553.1589599609374,-310.09239422222225,58.84722222222222,,
0,0.5,4416,69,25796,680,0.0062827514,0.0109375,-10.25275297164917,0.0,0.0003,0.2,359.88677978515625,-0.030759213119745256,733.4779968261719,-306.0217350266667,58.266666666666666,,
0,0.5,4480,70,26012,690,0.0082643,0.0234375,-10.25424919128418,0.0,0.0003,0.2,540.050537109375,-0.03720303941518068,1094.5678466796876,-306.0217350266667,58.266666666666666,,
0,0.5,4544,71,26200,700,0.0036469158,0.0015625,-10.259571170806884,-1.1920928955078125e-07,0.0003,0.2,724.2684936523438,-0.01364330668002367,1464.8909301757812,-306.0217350266667,58.266666666666666,,
,0.5,4608,,,710,0.0030289479,0.0,-10.264525413513184,0.0,0.0003,0.2,578.1281127929688,-0.018357359897345306,1172.0840209960938,,,-182.55845340000002,400.0
0,0.5,4608,72,27773,,,,,,,,,,,-306.0191437236843,58.31578947368421,,
0,0.5,4672,73,27990,720,0.004182784,0.003125,-10.26100025177002,0.0,0.0003,0.2,471.69744873046875,-0.025036955997347832,958.0118957519531,-306.0191437236843,58.31578947368421,,
0,0.5,4736,74,28197,730,0.0051365895,0.0125,-10.258877086639405,0.0,0.0003,0.2,769.8687744140625,-0.026239350624382495,1556.456396484375,-307.1955242,58.725,,
0,0.5,4800,75,28407,740,0.010861011,0.040625,-10.26484661102295,0.0,0.0003,0.2,285.346435546875,-0.03820103900507092,583.7420288085938,-307.1955242,58.725,,
0,0.5,4864,76,28609,750,0.0068255793,0.0109375,-10.263148498535156,-1.1920928955078125e-07,0.0003,0.2,720.4656982421875,-0.028057465702295302,1457.392041015625,-307.1955242,58.725,,
0,0.5,4928,77,28845,760,0.0050646234,0.003125,-10.265654373168946,0.0,0.0003,0.2,502.1829833984375,-0.02729196846485138,1019.5907958984375,-305.78799320987656,58.617283950617285,,
0,0.5,4992,78,29087,770,0.0037603732,0.0078125,-10.272388648986816,1.1920928955078125e-07,0.0003,0.2,793.5499267578125,-0.018839967623353004,1603.0876098632812,-305.62986225609757,58.670731707317074,,
0,0.475,5056,79,29287,780,0.002912309,0.0,-10.272824478149413,-1.1920928955078125e-07,0.0003,0.2,817.50732421875,-0.020095883309841155,1651.42080078125,-308.42462727380956,59.11904761904762,,
