time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
17408,,,,,,2230.719287109375,135,1.0,0.001,0.000402148871216923,-7.152557373046875e-07,0.06268415600061417,-181.1320634,398.8
17408,-164.30989667000003,136,0,34.84,66518,,,,,,,,,
17536,-163.15220384,137,0,34.53,66774,2366.832958984375,136,1.0,0.001,0.0004040153289679438,-2.384185791015625e-07,0.05883708968758583,,
17664,-164.74493111,138,0,34.9,67035,2741.0667724609375,137,1.0,0.001,0.0004095429030712694,-4.76837158203125e-07,0.058724790811538696,,
17792,-165.43655601999995,139,0,35.03,67308,2393.4057861328124,138,1.0,0.001,0.0003599562915042043,-3.5762786865234375e-07,0.058671966195106506,,
17920,,,,,,2297.3820068359373,139,1.0,0.001,0.0003679416258819401,-7.152557373046875e-07,0.059884678572416306,-180.45628340000002,397.8
17920,-163.86027733000003,140,0,34.76,68461,,,,,,,,,
18048,-162.14836002,141,0,34.34,68734,2258.7188720703125,140,1.0,0.001,0.0003955166321247816,0.0,0.06179787218570709,,
18176,-158.50306566,142,0,33.74,68977,2431.6337890625,141,1.0,0.001,0.0003968084929510951,-4.76837158203125e-07,0.06342954933643341,,
18304,-154.74387039,143,0,33.25,69253,2269.5440185546877,142,1.0,0.001,0.00039423746056854725,-4.76837158203125e-07,0.0620073638856411,,
18432,,,,,,1970.81650390625,143,1.0,0.001,0.00037447683280333877,-3.5762786865234375e-07,0.06376618891954422,-180.96116179999999,397.6
18432,-154.76903736,144,0,33.57,70416,,,,,,,,,
18560,-155.06442986,145,0,33.55,70668,2440.9044189453125,144,1.0,0.001,0.00041327672079205513,2.980232238769531e-07,0.055638160556554794,,
18688,-154.86097164,146,0,33.61,70954,2315.19462890625,145,1.0,0.001,0.00042915157973766327,-3.5762786865234375e-07,0.05910630151629448,,
18816,-156.55504608,147,0,33.88,71231,2146.2178466796877,146,1.0,0.001,0.00042911554919555783,-3.5762786865234375e-07,0.05862358957529068,,
18944,,,,,,1786.4201171875,147,1.0,0.001,0.00047239771811291575,-4.76837158203125e-07,0.06048322096467018,-180.9628854,397.2
18944,-149.17498948999997,148,0,32.85,72397,,,,,,,,,
19072,-148.71769120000002,149,0,32.68,72675,2876.2636474609376,148,1.0,0.001,0.0004226392484270036,-3.5762786865234375e-07,0.06373992562294006,,
19200,-146.65237879999998,150,0,32.27,72921,1604.9069580078126,149,1.0,0.001,0.0004020235501229763,-1.1920928955078125e-07,0.06180302053689957,,
19328,-147.77201516,151,0,32.78,73167,2140.3858642578125,150,1.0,0.001,0.0004156122449785471,-5.960464477539062e-07,0.06203652545809746,,
19456,,,,,,2296.5417236328126,151,1.0,0.001,0.0004056589095853269,-8.344650268554688e-07,0.05956929549574852,-180.0505688,395.8
19456,-137.93942002,152,0,30.59,74334,,,,,,,,,
19584,-133.11742553,153,0,29.85,74603,2360.1271484375,152,1.0,0.001,0.0003980861511081457,-3.5762786865234375e-07,0.061303529888391495,,
19712,-132.56198324000002,154,0,29.6,74866,1973.2678100585938,153,1.0,0.001,0.0003826534957624972,-4.76837158203125e-07,0.06092434003949165,,
19840,-130.90177286,155,0,29.46,75125,2252.8478515625,154,1.0,0.001,0.00040118314791470766,-1.1920928955078125e-07,0.0568760484457016,,
19968,,,,,,1701.6488037109375,155,1.0,0.001,0.00038199638947844505,-4.76837158203125e-07,0.06100725755095482,-180.7225868,398.0
19968,-125.33407905999998,156,0,28.4,76311,,,,,,,,,
20096,-123.99016295,157,0,28.06,76545,2726.8368896484376,156,1.0,0.001,0.00039610115345567465,-4.76837158203125e-07,0.062064457684755325,,
20224,-123.17858273000002,158,0,27.83,76802,1993.8852172851562,157,1.0,0.001,0.0003724987036548555,-4.76837158203125e-07,0.061946675181388855,,
20352,-117.21118539,159,0,26.68,77080,1944.0258056640625,158,1.0,0.001,0.0004417156451381743,-2.384185791015625e-07,0.0645761638879776,,
20480,,,,,,1875.3682861328125,159,1.0,0.001,0.0004462915239855647,-5.960464477539062e-07,0.06937415152788162,-180.7960012,397.6
20480,-110.42307718,160,0,25.35,78211,,,,,,,,,
20608,-106.82067159,161,0,24.67,78484,1497.2015747070313,160,1.0,0.001,0.00041260174475610256,-5.960464477539062e-07,0.059546276926994324,,
20736,-107.34924438,162,0,25.35,78730,2254.0208251953127,161,1.0,0.001,0.0004236054082866758,-8.344650268554688e-07,0.06137697398662567,,
20864,-111.67457641000001,163,0,26.28,78967,2455.624560546875,162,1.0,0.001,0.0003862539306282997,-2.384185791015625e-07,0.05768098309636116,,
20992,,,,,,1614.6024780273438,163,1.0,0.001,0.0004268745251465589,-3.5762786865234375e-07,0.061539389193058014,-181.0973516,397.0
20992,-98.05002594,164,0,23.41,80120,,,,,,,,,
21120,-94.31915009000002,165,0,22.15,80391,2924.5428955078123,164,1.0,0.001,0.00041719776345416903,-5.960464477539062e-07,0.06085365265607834,,
