train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
0.475,5504,-284.67129585000004,43,0,54.07,18896,420,0.0003,-0.018013818096369504,-1.1920928955078125e-06,0.2,2239.763916015625,4257.821337890625,0.0015625,-10.304948759078979,0.0027497774,,
0.475,5632,,,,,,430,0.0003,-0.05316281653940678,-9.298324584960938e-06,0.2,1042.7330322265625,1908.7364318847656,0.07109375,-10.299986028671265,0.016290093,-181.2696702,80.0
0.475,5632,-278.25930755,44,0,52.88,19967,,,,,,,,,,,,
0.475,5760,-282.10389991,45,0,53.53,20222,440,0.0003,-0.03284431635402143,-6.4373016357421875e-06,0.2,1308.180908203125,2953.4140380859376,0.0109375,-10.297128534317016,0.0061868774,,
0.475,5888,-280.42123370999997,46,0,53.38,20490,450,0.0003,-0.031385092763230205,-5.0067901611328125e-06,0.2,1314.423828125,2754.40107421875,0.02109375,-10.293125343322753,0.006950062,,
0.475,6016,-286.59257397,47,0,54.69,20740,460,0.0003,-0.024761012848466636,-1.049041748046875e-05,0.2,1533.5970458984375,3162.9685180664064,0.00859375,-10.291123104095458,0.0048876307,,
0.475,6144,,,,,,470,0.0003,-0.03551166988909245,-3.4570693969726562e-06,0.2,1185.691162109375,2322.4969848632813,0.025,-10.293270874023438,0.008072482,-181.1526872,80.6
0.475,6144,-281.80423556,48,0,53.93,21813,,,,,,,,,,,,
0.475,6272,-278.51313945000004,49,0,53.56,22075,480,0.0003,-0.0505653265863657,-2.0742416381835938e-05,0.2,748.2939453125,1689.6950073242188,0.0671875,-10.291731595993042,0.014727952,,
0.475,6400,-278.47966327,50,0,53.58,22355,490,0.0003,-0.04061222020536661,-8.821487426757812e-06,0.2,1442.4288330078125,2865.70380859375,0.0546875,-10.303373956680298,0.0131365135,,
0.475,6528,-281.24113168,51,0,53.95,22637,500,0.0003,-0.03481630021706224,1.1920928955078125e-07,0.2,1510.6468505859375,3515.5531494140623,0.02578125,-10.302073574066162,0.008111361,,
0.475,6656,,,,,,510,0.0003,-0.040948564372956756,-9.5367431640625e-07,0.2,1907.400146484375,3424.750769042969,0.03671875,-10.292743301391601,0.010294558,-181.9307446,99.0
0.475,6656,-279.9866653,52,0,53.69,23736,,,,,,,,,,,,
0.475,6784,-280.09525543,53,0,53.74,24004,520,0.0003,-0.02792575564235449,-3.933906555175781e-06,0.2,1531.8995361328125,2893.0576049804686,0.009375,-10.28285527229309,0.0043395567,,
0.475,6912,-281.69895157999997,54,0,54.13,24269,530,0.0003,-0.046802746644243595,-5.4836273193359375e-06,0.2,1151.8670654296875,2130.4339294433594,0.06640625,-10.281002712249755,0.014167624,,
0.475,7040,-284.36991079,55,0,54.66,24487,540,0.0003,-0.022858403995633124,1.4901161193847656e-06,0.2,1929.993408203125,3389.4560668945314,0.00625,-10.287404823303223,0.0051395297,,
0.475,7168,,,,,,550,0.0003,-0.0607129231095314,7.152557373046875e-07,0.2,707.3114624023438,1671.4021118164062,0.15625,-10.282775735855102,0.0250904,-181.72273839999997,201.0
0.475,7168,-281.57541399,56,0,54.25,25577,,,,,,,,,,,,
0.475,7296,-281.3758956,57,0,54.35,25849,560,0.0003,-0.04233746277168393,-4.291534423828125e-06,0.2,975.0194091796875,2000.7245544433595,0.05546875,-10.273972463607787,0.013000771,,
0.475,7424,-280.37104141,58,0,54.31,26116,570,0.0003,-0.037849845737218855,-9.059906005859375e-06,0.2,1125.8154296875,2284.22470703125,0.04765625,-10.263947153091431,0.011252949,,
