time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/kl_divergence_loss,train/learning_rate,train/n_updates,train/is_line_search_success,train/policy_objective,train/explained_variance,eval/mean_ep_length,eval/mean_reward
41344,0,-5.768757449999999,5.89,106227,323,0.7068485915660858,0.00824083760380745,0.001,322,1.0,0.07954796403646469,0.8207966238260269,,
41472,,,,,,0.8337607383728027,0.00572859076783061,0.001,323,1.0,0.08538254350423813,0.8556290417909622,4.2,-5.345757000000001
41472,0,-5.607942789999998,4.73,106437,324,,,,,,,,,
41600,0,-5.53644552,4.63,106621,325,0.5961516618728637,0.007172128185629845,0.001,324,1.0,0.08723501861095428,0.88723374158144,,
41728,0,-5.484538920000001,4.38,106805,326,0.4607358694076538,0.007894952781498432,0.001,325,1.0,0.08722890913486481,0.9113055765628815,,
41856,0,-5.392518829999999,4.34,106992,327,0.6923170387744904,0.009432591497898102,0.001,326,1.0,0.07997868210077286,0.8684326708316803,,
41984,,,,,,0.5537689983844757,0.007248034700751305,0.001,327,1.0,0.08940482139587402,0.8828291818499565,5.0,-5.8059624
41984,0,-5.458305879999999,4.8,107199,328,,,,,,,,,
42112,0,-5.492139269999999,4.97,107371,329,0.5125188589096069,0.007663081865757704,0.001,328,1.0,0.09440532326698303,0.8794938921928406,,
42240,0,-5.494605750000001,4.98,107544,330,0.43816580176353453,0.007760292384773493,0.001,329,1.0,0.06696036458015442,0.8998303264379501,,
42368,0,-5.41825089,5.08,107705,331,0.5685810267925262,0.007186705246567726,0.001,330,1.0,0.08843988925218582,0.8916523084044456,,
42496,,,,,,0.43688698709011076,0.005290871486067772,0.001,331,1.0,0.06606169044971466,0.8983756750822067,4.6,-4.0396972
42496,0,-5.45640972,4.98,107906,332,,,,,,,,,
42624,0,-5.3885669400000005,4.91,108084,333,0.5188789188861846,0.0073975566774606705,0.001,332,1.0,0.098691925406456,0.8946561962366104,,
42752,0,-5.297477809999999,4.9,108255,334,0.4539433389902115,0.007342393975704908,0.001,333,1.0,0.08011140674352646,0.8908594325184822,,
42880,0,-5.373748419999999,5.02,108416,335,0.5248700231313705,0.00972764939069748,0.001,334,1.0,0.10008588433265686,0.8837417736649513,,
43008,,,,,,0.5133219063282013,0.008293209597468376,0.001,335,1.0,0.0923536866903305,0.8849570453166962,5.6,-5.0482152
43008,0,-5.260251459999999,4.79,108629,336,,,,,,,,,
43136,0,-5.235050959999999,4.99,108794,337,0.4937563806772232,0.007374712266027927,0.001,336,1.0,0.09509097039699554,0.8828811720013618,,
43264,0,-5.20548793,4.97,108955,338,0.38833898603916167,0.006860724650323391,0.001,337,1.0,0.10310063511133194,0.9073859080672264,,
43392,0,-5.181737469999999,4.9,109122,339,0.6958407640457154,0.009610386565327644,0.001,338,1.0,0.12324554473161697,0.7186971008777618,,
43520,,,,,,0.4901630789041519,0.004865718074142933,0.001,339,1.0,0.06415156275033951,0.8458621948957443,7.2,-5.819903399999999
43520,0,-5.135293660000001,4.92,109319,340,,,,,,,,,
43648,0,-5.075720120000001,4.79,109479,341,0.633304089307785,0.008833449333906174,0.001,340,1.0,0.13081499934196472,0.6736953556537628,,
43776,0,-5.4077527399999985,7.73,109640,342,0.6115936875343323,0.006889268755912781,0.001,341,1.0,0.04763874411582947,0.7284421026706696,,
43904,0,-5.546849350000001,7.78,109793,343,0.7004312217235565,0.00785193033516407,0.001,342,1.0,0.06772185862064362,0.8539078533649445,,
44032,,,,,,0.7005514740943909,0.009710811078548431,0.001,343,1.0,0.07563665509223938,0.859358549118042,5.2,-5.2394606
44032,0,-5.566760929999999,7.85,109997,344,,,,,,,,,
44160,0,-5.650422359999998,7.91,110157,345,0.4275648474693298,0.0075944652780890465,0.001,344,1.0,0.08198779821395874,0.890529453754425,,
44288,0,-5.719197790000002,8.16,110313,346,0.5993511855602265,0.006982496008276939,0.001,345,1.0,0.06867654621601105,0.8419318944215775,,
44416,0,-5.350292130000001,5.19,110488,347,0.7215482771396637,0.007869978435337543,0.001,346,1.0,0.07486693561077118,0.7998618930578232,,
44544,,,,,,1.227023857831955,0.007589474320411682,0.001,347,1.0,0.09461185336112976,0.739504486322403,4.4,-5.2843176000000005
44544,0,-5.459467540000002,6.48,110682,348,,,,,,,,,
44672,0,-5.49666431,6.37,110853,349,0.9715080738067627,0.005997658707201481,0.001,348,1.0,0.05822001397609711,0.6709850132465363,,
44800,0,-5.464438210000001,6.3,111015,350,0.7539174973964691,0.009700387716293335,0.001,349,1.0,0.10915219783782959,0.8116676062345505,,
44928,0,-5.50702932,6.74,111179,351,0.6620939612388611,0.008764144033193588,0.001,350,1.0,0.0964520201086998,0.7975849509239197,,
45056,,,,,,0.5719462871551514,0.009270809590816498,0.001,351,1.0,0.06494418531656265,0.8552756011486053,4.0,-4.528666599999999
45056,0,-5.6594453,7.04,111364,352,,,,,,,,,
