train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.45125,14208,-5.84700624,111,0,10.24,28785,1.4112418055534364,110,1.0,0.001,0.34989359974861145,0.7585680186748505,0.23586663603782654,,
0.45125,14336,,,,,,1.4962350249290466,111,1.0,0.001,0.3836238384246826,0.7287688851356506,0.2654609680175781,-5.8752242,15.0
0.45125,14336,-5.68445277,112,0,10.09,28923,,,,,,,,,
0.45125,14464,-5.638065270000001,113,0,10.05,29019,1.0284052312374115,112,1.0,0.001,0.35546958446502686,0.8918014839291573,0.15075436234474182,,
0.45125,14592,-5.64206884,114,0,9.77,29119,0.8305809617042541,113,1.0,0.001,0.41888394951820374,0.8489850610494614,0.2597065269947052,,
0.45125,14720,-5.666381760000002,115,0,9.48,29205,0.7804267346858978,114,1.0,0.001,0.1786932647228241,0.8332664221525192,0.13530895113945007,,
0.45125,14848,,,,,,0.6092779994010925,115,1.0,0.001,0.3712252974510193,0.8827883452177048,0.24886378645896912,-4.4652829999999994,6.4
0.45125,14848,-5.787478180000002,116,0,9.58,29320,,,,,,,,,
0.45125,14976,-5.7826893199999985,117,0,9.04,29411,0.8384542346000672,116,1.0,0.001,0.4254174828529358,0.9010826945304871,0.1742456555366516,,
0.42868749999999994,15104,-5.7905403,118,0,8.81,29515,0.7237302958965302,117,1.0,0.001,0.2515568733215332,0.8844934478402138,0.14881016314029694,,
0.42868749999999994,15232,-5.830739640000002,119,0,9.03,29609,0.6056746780872345,118,1.0,0.001,0.2064080387353897,0.8520350605249405,0.1881217062473297,,
0.42868749999999994,15360,,,,,,0.9018060803413391,119,1.0,0.001,0.3350331485271454,0.7541560679674149,0.1062784194946289,-7.9047524,84.8
0.42868749999999994,15360,-5.87278781,120,0,8.76,29907,,,,,,,,,
0.42868749999999994,15488,-5.7870458199999995,121,0,8.71,29998,0.7394120514392852,120,1.0,0.001,0.27220895886421204,0.8318138420581818,0.26442742347717285,,
0.42868749999999994,15616,-5.89645339,122,0,8.91,30087,0.7656324505805969,121,1.0,0.001,0.3389246463775635,0.7951494604349136,0.08280417323112488,,
0.42868749999999994,15744,-5.898477989999998,123,0,8.9,30176,0.6365785598754883,122,1.0,0.001,0.4292457401752472,0.841328889131546,0.276592880487442,,
0.42868749999999994,15872,,,,,,0.5484769821166993,123,1.0,0.001,0.14596253633499146,0.9399414211511612,0.1654660850763321,-7.069892200000001,91.2
