time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
57984,0,-182.18820207999997,399.45,136751,453,11.573122024536133,0.0,4520,24.508684349060058,2.1420419216156004e-09,0.0003,0.2,-0.08342112451791764,0.0,0.0,,
58112,0,-182.15260116000002,399.45,136812,454,12.86952018737793,0.00546875,4530,24.510211277008057,-0.0017644796520471574,0.0003,0.2,-0.08409401178359985,0.0015879599,0.0,,
58240,0,-182.15260116000002,399.45,136872,455,416.8387756347656,0.00625,4540,673.9480682373047,-0.0056216101162135605,0.0003,0.2,-0.11853584386408329,0.005549092,0.0,,
58368,,,,,,13.206886291503906,0.00546875,4550,26.00385961532593,-0.0015890723560005426,0.0003,0.2,-0.12196610756218433,0.0010511181,1.1920928955078125e-07,400.0,-181.4018926
58368,0,-182.15260116000002,399.45,137878,456,,,,,,,,,,,,
58496,0,-182.12091796999997,399.45,137938,457,11.960089683532715,0.00703125,4560,24.687106704711915,-0.0018431724049150944,0.0003,0.2,-0.12533157914876938,0.0014471044,1.1920928955078125e-07,,
58624,0,-182.11013810999998,399.45,137999,458,392.8197021484375,0.003125,4570,566.3277801513672,-0.00036542797461152076,0.0003,0.2,-0.14602853804826738,0.0004599099,-1.1920928955078125e-07,,
58752,0,-182.09388320999997,399.45,138060,459,770.983154296875,0.00546875,4580,1000.2998580932617,-0.0023111744783818724,0.0003,0.2,-0.14968104735016824,0.0013212347,-1.1920928955078125e-07,,
58880,,,,,,467.1400146484375,0.0,4590,982.3037872314453,-0.0006291152909398079,0.0003,0.2,-0.1507200576364994,0.00030713296,0.0,400.0,-181.7341356
58880,0,-182.09388320999997,399.45,139071,460,,,,,,,,,,,,
59008,0,-182.09388320999997,399.45,139132,461,13.366931915283203,0.00703125,4600,26.31116819381714,-0.002040069177746773,0.0003,0.2,-0.12312395237386227,0.0014506145,0.0,,
59136,0,-182.09388320999997,399.45,139193,462,11.201059341430664,0.003125,4610,24.723644542694093,-0.0002764531411230564,0.0003,0.2,-0.12274428904056549,0.00040702196,-1.1920928955078125e-07,,
59264,0,-182.09388320999997,399.45,139254,463,11.835081100463867,0.0,4620,24.538025760650633,-0.00033604465425014497,0.0003,0.2,-0.1238085836172104,4.2790547e-05,-1.1920928955078125e-07,,
59392,,,,,,11.134196281433105,0.009375,4630,24.512443923950194,-0.0028661686927080156,0.0003,0.2,-0.13143228888511657,0.0014592172,-1.1920928955078125e-07,400.0,-181.46360180000002
59392,0,-182.09388320999997,399.45,140267,464,,,,,,,,,,,,
59520,0,-182.09388320999997,399.45,140328,465,10.094169616699219,0.0,4640,24.51188259124756,-0.0008557219058275223,0.0003,0.2,-0.1351611576974392,0.00024073431,-1.1920928955078125e-07,,
59648,0,-182.04630684,399.45,140389,466,11.153573989868164,0.00546875,4650,24.507619667053223,-0.0008159284479916096,0.0003,0.2,-0.12538277879357337,0.0009511886,0.0,,
59776,0,-182.04630684,399.45,140450,467,657.3872680664062,0.0,4660,1062.9775360107421,-0.00016960911452770233,0.0003,0.2,-0.14546984620392323,3.049057e-05,5.960464477539063e-08,,
59904,,,,,,11.050025939941406,0.0,4670,26.311595726013184,-0.0005239664576947689,0.0003,0.2,-0.11701991148293019,6.001722e-05,0.0,400.0,-181.24723699999998
59904,0,-182.04630684,399.45,141459,468,,,,,,,,,,,,
60032,0,-182.04098049,399.45,141520,469,11.60361099243164,0.0046875,4680,24.70358724594116,-0.001012252178043127,0.0003,0.2,-0.11077459678053855,0.0005484619,0.0,,
60160,0,-182.04098049,399.45,141582,470,717.3182373046875,0.0,4690,1052.9477081298828,-0.00036225295625627043,0.0003,0.2,-0.13109046705067157,0.00019140542,5.960464477539063e-08,,
